,SITUATION,EMOTION
3376,Friend (male) hinted that my talking to other men at a pub was immoral. He implied that I should remain only with my boyfriend the entire evening.,ANGER
3377,On rising. No apparent reason.,SADNESS
3378,"Prolonged \niggling\"" of friend on a single theme which I áconsidered of no consequence.""",DISGUST
3379,Felt I had not appreciated my parents enough. Regretted the problems I'd caused.,SHAME
3380,"Boyfriend doing cleaning in situation where it was my job to do it. Later snapped at him over trivial thing. He looked downcast. I felt guilty - \he's just done all that work for me\"".""",GUILT
3381,When my first niece was born.,JOY
3382,In a flat in Sydney - rough area at home on my own - the flat had been burgled the night before and no way of locking the door.,FEAR
3383,When the bus driver failed to stop and pick me up at a bus stop.,ANGER
3384,When my uncle died of leukemia at age 35.,SADNESS
3385,Watching an alcoholic woman who was approaching everyone at the wharf for cigarettes - a prostitute in Auckland (elderly).,DISGUST
3386,Stealing money from my parents when I was young.,SHAME
3387,Two timing - going out with 2 guys at once (secretly).,GUILT
3388,"When I went to the pub with a large group of friends, we drank and danced.",JOY
3389,Watched a horror movie which involved sexual attacks on women.,FEAR
3390,My boyfriend promised to take me to see a game of tennis and rang saying he was going to the pub with some of his friends instead.,ANGER
3391,My mother was unwell and went for many cancer tests. She spent time in hospital being opened and closed many times.,SADNESS
3392,"I was driving along and saw this young guy urinating into the gutter, in broad daylight.",DISGUST
3393,I kicked the dog outside on a cold night because he was annoying me. The next day he came down with the flu and we thought he was going to die.,SHAME
3394,I spent all weekend with a friend instead of studying for my exams.,GUILT
3395,Birth of children.,JOY
3396,Being alone at night.,FEAR
3397,In a hurry to get to lectures and the car would not start.,ANGER
3398,When grandfather died.,SADNESS
3399,Obscene phone calls.,DISGUST
3400,"Being with a close friend, in the city, who was involved at the present point in time in outrageous activity.",SHAME
3401,Telling white lies.,GUILT
3402,Thought had discovered true love.,JOY
3403,Stopped at lights in Mangere late one Friday night on way home from work. Alone in car when someone came up behind the car and started banging and shaking it. Light was red and had nowhere to go until light changed. When green I took off.,FEAR
3404,When fired unjustly from a job as casual bar-person. Charged with giving away free drinks. Not done so and had witnesses to prove it - both patrons and bar staff. Other staff were supportive.,ANGER
3405,Close friend leave to go overseas for an indefinite period. Farewell scene at airport.,SADNESS
3406,When employer made a pass at me whilst I was at work.,DISGUST
3407,When caught shoplifting and the police were called in parents also informed.,SHAME
3408,When caught shop-lifting as for shame.,GUILT
3409,Receiving understanding from within self of a subject I had previously wished to understand better.,JOY
3410,To talk in a meeting - expound my thoughts on a subject. Fear delayed me acting to do this.,FEAR
3411,Towards wife's laziness in not performing her usual duties because of television watching.,ANGER
3412,Watching suffering in Third World country.,SADNESS
3413,Observation of people lost in the profit motive - i.e. business managers to their actions esp.,DISGUST
3414,On own reading book. Recall came to mind of slight sexual exploitation of a female (years ago) i.e. had her on even for sexual motives.,SHAME
3415,Telling a lie to wife over phone about what I had been working at.,GUILT
3416,Meeting best friend at the airport (boyfriend) who I had missed terribly.,JOY
3417,Confronted outside a party by some very nasty character - gesturing to a car full of mean-acting friends - felt in danger.,FEAR
3418,NO RESPONSE.,ANGER
3419,My cat died painfully and slowly.,SADNESS
3420,Having unwanted attention paid to me in my place of work - harrassment (and sexual harrassment) by another worker - disgusted by his implications.,DISGUST
3421,Close friend discovered I had deceived them. Felt shame at having done it and knowing that they knew.,SHAME
3422,Two-timing - going out with person other than guy I was in relationship with.,GUILT
3423,I was very pleased and happy when my older sister came home from living somewhere out of town and I hadn't seen her for months. We are very close sisters.,JOY
3424,I was skiing alone and the mountain became covered with mist and I thought I was lost and was going to panic.,FEAR
3425,My parents didn't allow me to go to a social function that all my friends were attending.,ANGER
3426,"While still at school a friend died of cancer, after being ill for a long time, she was 17 yrs old.",SADNESS
3427,At a party my best girlfriend got really drunk and went off with a guy she knows I really like.,DISGUST
3428,I was severely reprimanded for a trivial offence in front of members of my peer group while still at school.,SHAME
3429,Someone asked me to do something and I made up an excuse and said no. I then went and didn't the same thing with someone else and hoped the first person never found out.,GUILT
3430,When my brother who has been out of New Zealand for 10 years came to visit with his wife which none of our family had previously met.,JOY
3431,"When I had to give a speech about some historical event, to an audiece of about 200 people my own age whom I did not know.",FEAR
3432,In arguments with a close friend or relative where my point of view is completely disregarded.,ANGER
3433,"When my grandfather whom I had met only once for 3 weeks, died after several months. I was really sad because he was a lovely person and I did not have the means for his company.",SADNESS
3434,I once saw a programme on TV describing how certain wild life films were made and was disgusted by the treatment of certain animals in this particular programme of the polar bear.,DISGUST
3435,The 2nd time someone I had met cared for came over to my house I was absolutely inebriated and was sick into a bucket.,SHAME
3436,The first time I went away with my boyfriend and lied about where we were staying.,GUILT
3437,"When my former boyfriend and I reconciled and he decided that I was very important to him. I had always wanted us to get back together again, but had doubted the likelihood of this, so I was very happy when my small amount of faith was vindicated.",JOY
3438,"When riding in a very fastly-driven car on a lose metal road at a very late hour - no other cars on road, and driver was taking corners very sharply. I felt afraid - because if an accident happened, the area was very isolated. Also, I feared for driver, after I was dropped off - would he make it home safely.",FEAR
3439,"When at very short notice I agreed to work in place of a friend who was sick, and owner of the restaurant refused to allow me a drink later in the evening (which is usually always available for workers), did not thank me, and was generally indifferent towards me - I felt I did not deserve this.",ANGER
3440,"When I learned that my former boyfriend had become engaged - although I was glad that he had found what he wanted, I was very sad at my own personal loss, since I had always hoped we might one day reconcile.",SADNESS
3441,When reading a newspaper story of a man who had committed incestuous acts on his two-year old child - the thought that anyone could do such a thing is abhorrent to me.,DISGUST
3442,"When dropping a carton of boiling soup onto a co-worker's leg - causing great pain, and for me, severe embarassment at my own ineptitude, and shame that another person suffered as a result.",SHAME
3443,"When my sister had the opportunity to do some modelling work. And I was quite jealous - later on the photographer decided not to take her photograph, and she was very upset - I felt guilty as a result, almost as if I had caused her to lose her opportunity, by not being genuinely happy for her in the first place.",GUILT
3444,"I did a solo flight from Ardmore to Kaikohe before I got my pilot licence. I can remember it was gorgeous day and I was on a natural high, cruising up the coast with my maps and compasses and gear. Other pilots had seen me off and wished me good luck and it was a real adventure.",JOY
3445,A friend (female) and I were on holiday on Great Barrier Island by ourselves. One night we were nearly raped by about 20 locals - they came to our bach and tried to break the doors down. All of them were stoned or drunk and we hid under the bunks and were totally terrified. Eventually these guys gave up and went looking for us on the beach. We escaped and slept in the bush for 2 nights.,FEAR
3446,"I \cooked\"" the engine in my father's car - it was actually his áfault because he hadn't fixed the temperature gauge or told me. á",ANGER
3447,"This sounds really predictable and usual but it was absolutely heart-rending at the time. My first lover (I was 15) just rang up one day and announced that he had found another woman. I never saw him again and it hurt because I was positive that it was \TRUE LOVE\"" !!""",SADNESS
3448,"I once saw an old man up the road, fossicking through the rubbish bins and the gutter. I was really disgusted at first but I've seen him a few times since then and now I feel really sorry for him and I often give him cigarettes when I see him, because he mainly goes after cigarette butts and it is revolting.",DISGUST
3449,"When I was 15 my mother discovered various items in my room which 15 year olds aren't usually expected to have - mainly alcohol, marijuana and contraceptives !",SHAME
3450,NO RESPONSE.,GUILT
3451,"A holiday at a whitesand deserted beach. A cool evening near the end of summer and we had a fire in the sand - toasted marshmellows, cuddled and drank champagne.",JOY
3452,"Skiing down a very icy slope, very fast in white-out conditions. Out of control with no idea of what I was doing or where I was heading.",FEAR
3453,My best friend at school told lies about me to a boy I was seeing and went out with him herself.,ANGER
3454,I found a baby opposum on the road and took it home and cared for it for a week. It had to be force-fed and carried in a fur pouch under my jersey. My father had the vet put it to sleep as he said they carried diseases.,SADNESS
3455,A boyfriend with whom I split up with came over to a friend's house where I was visiting with a male friend. In a confrontation in another room he tried to find out if I was aroused by my friend by feeling my parts.,DISGUST
3456,I told my primary teacher I hadn't done my homework as my mother was in a car accident. My teacher rang that night to see how my mother was - she was fine i.e. no accident !,SHAME
3457,I told my pesent boyfriend that I was an Australian as are my parents. As the relationship developed I found it harder and harder to confess and became sure it would end our relationship. He eventually found out when told in front of me by my mother.,GUILT
3458,"Winning a race that I had been training for, for many weeks. (Running Race).",JOY
3459,"When I was very young and we moved as a family to Auckland from Wellington, this meant new school and friends (etc.).",FEAR
3460,When someone ignores what I am saying or doesn't let me have my point of view and they monopolise a conversation.,ANGER
3461,"When I got into an argument with someone and was very abusive, but they were a close friend and I later regretted it.",SADNESS
3462,When a close relative got quite drunk. It was a relative that I had respected for a long time and looked up to as a child.,DISGUST
3463,"When I had come home drunk the day after a party, I felt very ashamed in front of my parents.",SHAME
3464,When I crashed by bike into an old lady crossing a road and knocked her down.,GUILT
3465,Listening to the opening bars of Tchaikovsdy's symphony No.2 fourth movement at my sister's wedding.,JOY
3466,"As a passenger in a vehicle travelling from the steep side of Arthur's Pass in the middle of a sleet-storm, icy roads, sheer chasms to one side, sheer face to the other.",FEAR
3467,"As in sadness (A), relating to this slaghter of fur-seals.",ANGER
3468,A) A documentary in which baby fur seals were being clubbed/spiked to death by Canadian seal-hunters. Brutally graphic. B) Description of a disfigured orphaned child in Hiroshima calling for her mother.,SADNESS
3469,"The repression of rioting and non-rioting \Blacks\"" in South áAfrica by the police of that \""Democracy\"".""",DISGUST
3470,Breaking an implicit promise.,SHAME
3471,At the age of 12 (or so) I stole from a Ranger's fruit tree an apple. (And eventually was compelled to confess - Dostoersky would like this).,GUILT
3472,Seeing my sister after about 2 years of not seeing her. Only spent 1 hour or so before she was off overseas with her husband for 3 months.,JOY
3473,I imagined I heard footsteps up the hall while sleeping in bed one night by myself in the house.,FEAR
3474,Stopped at a Fast Food shop with friends and a few locals wanted to fight us for no apparent reason. They hit and picked on one of my friends.,ANGER
3475,My father recently having a heart attack - spending a few months in hospital.,SADNESS
3476,My flatmate and close friend living and sleeping with another close friend of mine.,DISGUST
3477,Sleeping with a girl on a Saturday night and then not contacting her in later days.,SHAME
3478,Stealing money from a milk token jar from a close friend of the family when visiting.,GUILT
3479,Talking with someone I admire a lot.,JOY
3480,Held under water by a large wave and thought I was drowning.,FEAR
3481,Came back from surfing to find car broken into and gear and money stolen.,ANGER
3482,Caused a family disturbance.,SADNESS
3483,Friends calling me fat - pear shaped in front of a nice girl.,DISGUST
3484,When I considered writing a load of crap for this emotion.,SHAME
3485,Beating my brother up.,GUILT
3486,"I was \best man\"" at my brother's wedding a year ago.""",JOY
3487,Mugged while on holiday in the U.S.A.,FEAR
3488,"I am one of four directors of a company. We inherited land held by our family - ours is the 5th generation. A \democratic\"" ádecision was made to stap-bank an area of mangroves.""",ANGER
3489,Social situation - at the pub - a close friend of 2 years told the group around us of advances I had made.,SADNESS
3490,A drunk walked out in front of a car at night. Both lower legs were broken. His shoe was thrown about 50 yards after the accident.,DISGUST
3491,"My father died 4 years ago, 18 months after my mother died. I feld my sister was responsible for his death, in that she \hadn't áloved him\"". I felt ashamed for myself, and for my family.""",SHAME
3492,My grandmother wanted me to help her. I was driving a tractor pulling a dead branch off a tree. I told her she didn't respect me.,GUILT
3493,Hearing my girlfriend accept my offer of marriage.,JOY
3494,Canoeing across harbour in winds - 20 knots and rising seas.,FEAR
3495,Brother continually interupting while I was talking on the telephone.,ANGER
3496,Hearing of the death of a friend who had been skiing.,SADNESS
3497,Flicking through a magazine showing pictures of homosexual men committing various acts.,DISGUST
3498,Being caught by parents in a compromising situation with girlfriend.,SHAME
3499,Describing to mother how a hole in the wall had appeared while I was babysitting.,GUILT
3500,When I found out I had passed all of my university exams.,JOY
3501,Almost crashing into the back of a car while driving along the motorway on my motorcycle.,FEAR
3502,When my girlfriend of two years told me it was all over.,ANGER
3503,"A person I really like left for overseas for a few months, I had hoped to go out with her soon.",SADNESS
3504,"I deliberately avoided a person who I wanted to hurt, and who wanted to talk to me.",DISGUST
3505,I passed on some gossip that was untrue and cause two friends to have a fight who were already experiencing difficulties with each other.,SHAME
3506,Missing lectures and avoiding university work for no reason when it had to be done.,GUILT
3507,When I received my U.E. accredited as I was totally unexpecting it and I was so happy.,JOY
3508,"I went to see a movie and I went with a friend, it was really frightening and it made me stop and think about the world around me and what it is really like out there. I was frightened all that night.",FEAR
3509,"When my flatmate put me down because she \thought\"" she was better áthan me, or she felt she was.""",ANGER
3510,When a very close friend of mine went into hospital for a major operation and I couldn't see her for a while as I was not a relative she had no relatives in N.Z.,SADNESS
3511,One of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully.,DISGUST
3512,When I let my girlfriend use my essay to help her to write hers and the tutor found them alike.,SHAME
3513,When I had to lie to my boyfriend so that he wouldn't suspect I'd bought him a xmas present as expensive as I had.,GUILT
3514,"I received an assignment back, and got an A+ grading.",JOY
3515,"I was walking home one night (after getting a bus to my town) when I was confronted by a group of males (about 6), they would not let me pass - they made comments etc. - I crossed the road and hurried home.",FEAR
3516,"I lent a text-book to a person I did not know very well, they lost the text-book and gave me no compensation.",ANGER
3517,At the beginning of the year I moved to a new city - I felt sad as I had to leave many friends and family members behind.,SADNESS
3518,I read a newspaper article about dogs being stolen in order to use them for fighting purposes.,DISGUST
3519,I was amongst a group of people talking about how the Maori people were stirrers and causing trouble in our country. I felt shame to be a pakeha when other pakehas had such narrow conservative views.,SHAME
3520,I took my father's car to church one Sunday (I told them that's where I was going ) I decided instead to go for a drive to the beach - on the way I got a puncture.,GUILT
3521,Getting University Entrance accredited and arriving home from boarding school on accrediting leave.,JOY
3522,Thinking that I had been seen smoking at school by a teacher - waiting to be summoned to the headmaster's office.,FEAR
3523,When my mother rejected my boyfriend and made unfair judgements on him.,ANGER
3524,At my grandfather's funeral - My grandparents virtually raised me as my mother was a solo-parent and had to work.,SADNESS
3525,Watching a TV documentary on seal clubbing.,DISGUST
3526,I ate very fattening food in front of my boyfriend who would like me to lose weight. I am supposedly pursuing a modelling career but first I must lose weight. I had been trying to diet.,SHAME
3527,"I let my pet budgie loose to fly around my room one afternoon. A few hours afterwards I found he was still free, went in and out of my room leaving the door open. My cat got in and killed my budgie - this happened to 3 budgies.",GUILT
3528,The birth of my first child.,JOY
3529,A large german shepherd dog ran and barked at me (he didn't bite fortunately).,FEAR
3530,Most recently when the chairman at the New Zeeland Rugby Union announced that the All Blacks' would accept the invitation of South Africa to play rugby in that country.,ANGER
3531,When I was told a friend's baby had been born with only partial sight. This was her first child and she was not young (the mother that is).,SADNESS
3532,When I first saw the state of a cafeteria in the grounds of the university. Due to students own lack of concern for the environment in which they eat and drink. Rubbish and spilled tea and coffee left everywhere.,DISGUST
3533,"When I as a Pakeha (white) new Zealander, was just as racially prejudiced as other people whom I had condemned.",SHAME
3534,When my husband discovered I was having an affair with another man.,GUILT
3535,"I was biking with my boyfriend, the sun shining after a long period of bad beather, afterwards we spent the evening and night together.",JOY
3536,"I was hitchhiking and was picked up by a stranger he drove into the woods and wanted to make love with me, I refused and escaped from the car. When walking in the wood and hearing the car I was afraid.",FEAR
3537,In a discussion the leader wanted to stop because she was of the opinion that we were not involved and she misjudged our reactions as negative. We however only posed several questions which she couldn't answer.,ANGER
3538,When my grandmother died. She stayed with us until I had the age of 10. When she died I was 13 and I remember the moment after the funeral: I sat on the table and cried.,SADNESS
3539,When I heard about the disaster in Bophal (India).,DISGUST
3540,"Once in a public ladies room, I opened the door of a cubicle that was taken, although it was not locked.",SHAME
3541,"In a playground I was playing at the seesaw with a little niece. I wanted to stop but nobody came to help me. When I got off, all alone the seesaw fell down with a big smash. My niece got hurt above her eye. Now there is a scar.",GUILT
3542,When passing the final examinations for social worker.,JOY
3543,"Sleeping alone in a tent, while hearing several noises such as rustling etc, I am afraid that there are people who are up to no good.",FEAR
3544,"A man kept a seat taken by putting his coat on it after a while the chair was still empty, I asked him if I could use the chair, he didn't agree for the chair was for his coat.",ANGER
3545,When the relationship with my girlfriend broke up.,SADNESS
3546,A piece of work was marked as bad by the teachers I and some fellow students didn't agree with their vague criticism. I felt myself taken in by the teachers and felt disgust.,DISGUST
3547,Some weeks ago I experienced a day that everything went wrong I broke several things I felt very ashamed for I am not a sloven.,SHAME
3548,"I had made an appointment with a girl to go to the movies, but actually I had no mind when we arrived at the cinema, it was a full house. I then went back and she went to the movie alone.",GUILT
3549,A friend came to tell me that her father invited me to go on holiday with them in Benidorm otherwise I could not afford to go on holiday.,JOY
3550,At the age of 12 years I always had to take care of my little brother and sister I never could sleep then. I always imagined creepy men sneaking into our house.,FEAR
3551,"The landlord had selected a new lodger on her own, while we used to do that it was not what she had done, but how she did it that made me angry.",ANGER
3552,"It was a complex situation concerning a relationship with a boyfriend, I had broken the relationship for some reasons. Meanwhile, as I felt it, I had most sorrow.",SADNESS
3553,I saw a terrible accident happen and I laughed a lot of the fright and because I was nervous.,SHAME
3554,My mother wants to talk very often about her life. I dislike this because she always talks negatively about the same people whatever I do it doesn't help.,GUILT
3555,At the moment when I heard the result of an examination and it proved that I succeeded the second year of my study.,JOY
3556,I have a fobic anxiety for elevators. This anxiety is worst at the moment when the doors have to open. I have it often in the elevator at our university.,FEAR
3557,When someone accuses me without reason and is not willing to listen to me.,ANGER
3558,My boyfriend decided to make an end to our relationship.,SADNESS
3559,A person I know who tells lies and so pretending to be better than she is.,DISGUST
3560,When I am in an auditorium with people and I ask a silly question so that everyone starts to laugh.,SHAME
3561,I moved to Nijmegen for my study. Soon after this my mother had to be admitted in hospital because of cardiac compliants. I knew that my moving was an important reason for this.,GUILT
3562,I can't give one description here. I often feel joyful when I have done things good in relation to other people especially when my friend says he loves me and I also tell him that I love him.,JOY
3563,I was afraid when my first boyfriend threatened to make an end to our relationship because he didn't love me enough while I loved him very much.,FEAR
3564,"A good friend deceived me. Because of that little quarrel our relationship finished, mainly because she was not honest. I was very angry about that.",ANGER
3565,I was very sad when my first boyfriend finished our relationship.,SADNESS
3566,I was once raped (one year ago) by a man who was a lot older than me and whom I just met. Maybe it wasn't rape but the man wanted more than I wanted to give him since there were other people in vicinity.,DISGUST
3567,I felt shame when I didn't study enough for my exams and as a result I failed. I then invented idle stories to talk it good for myself and the others.,SHAME
3568,I felt guilty when I once went out with another boy and made love with him while I had a close boyfriend.,GUILT
3569,When my boyfriend came back after being away for 10 days.,JOY
3570,When I was sitting in a car next to a man who was masturbating.,FEAR
3571,"When my mother told things to my sister, which I told my mother in confindence.",ANGER
3572,Tonight in bed when I realised how bad my relationship with my friend was.,SADNESS
3573,"When I was in Eindhoven on an Exhibition of Hernan Nitsche, who made paintings with real blood. There were also photographs about the killing of cows.",DISGUST
3574,When I made an end on a relationship after three years.,SHAME
3575,That I didn't want my friend to leave on holiday for 10 days because I thought I would miss him. I was constantly trying to persuade him.,GUILT
3576,When I was making music together with my friend. It sounded very good and we were very satisfied.,JOY
3577,When my cat ran under a car and came home wounded. He could hardly walk. I didn't dare to go to a veterinarian because I was afraid he would kill him.,FEAR
3578,I had to unscrew something on my car. I didn't succeed after two afternoons of trying. A feeling of anger built up itself.,ANGER
3579,"Losing my girlfriend who made an end to our relationship. By this I lost an important source of support, certainty and joyful moments. I cried very intensly when that happened.",SADNESS
3580,A few days ago I saw two dandy girls of my age. I disliked their clothes and their way of doing.,DISGUST
3581,"During carnaval I danced for a few minutes normally I don't dance because I am rigid in my moving around during a dance, I stopped very soon.",SHAME
3582,I had a girlfriend which I used to call regularly. Then I didn't phone her for a while. At a certain moment I felt a little tension which became worse.,GUILT
3583,At an important moment in a volleyball game we made a point and by this we won a set from a much stronger competitor.,JOY
3584,When I went out with my dog in a forest late at night when we were on a camping.,FEAR
3585,I had an appointment with someone at a certain time. The other person didn't appear.,ANGER
3586,When I entered the operation theatre and underwent a difficult operation.,FEAR
3587,"When my friends left without waiting for me, after we had arranged to go out together.",ANGER
3588,When they gave away my dog to other people without my knowledge.,SADNESS
3589,"When I had to eat scraps from a dust-bin, because of a bet.",DISGUST
3590,"At the airport, eighty beer cans that I was carrying in a bag spread all around while I was going through the metal detector.",SHAME
3591,"When I took a car which was not mine, and suddenly it stopped working.",GUILT
3592,When the Real Madrid team of basket ball qualified for the final of the Europe Cup at Athens.,JOY
3593,On the scenic railway at the fairground.,FEAR
3594,"At having an argument with a stranger, in the street.",ANGER
3595,[ The same as in guilt.],SADNESS
3596,When I entered a toilet in a bar and it stank.,DISGUST
3597,The day I finished my military service.,JOY
3598,"When I was a child, one day, I was going home late at night and I did not notice an uncovered man hole and fell in it.  I was in there for several minutes.",FEAR
3599,"One day, when I was a child, my grandmother shut me up in a room.",ANGER
3600,The day I left my first girlfriend.,SADNESS
3601,"One day I was in the countryside with several friends, and we began to eat figs, after we were all full we noticed that all the figs were full of worms.",DISGUST
3602,"When I got my fingers stuck in one of the side holes of the door, in the tube.",SHAME
3603,I ran over my dog with a bicycle when I was carrying him tied to the handle bar.,GUILT
3604,When I won the first prize in a cross country race.,JOY
3605,I found myself involved in a fight in which a person died and I had to intervene with some risk.,FEAR
3606,An argument among friends in which my opinions on the way to spend spare time were disapproved.,ANGER
3607,I was forced to leave an unforgettable friend.,SADNESS
3608,I saw the gare of a prison.  This gare and the building were in deplorable condition and were full of rubbish.,DISGUST
3609,A mishap suffered on misinterpreting a girl's proposition.,SHAME
3610,"I thought that I could have avoided the above situation (the one in fear) if I had concentrated more on my work, which I hate.",GUILT
3611,"When I passed the last exam, which I had doudts about.",JOY
3612,Before I had a tooth pulled out.  I was very upset and ill.,FEAR
3613,When the Real Madrid football team lost against the inter in the U.E.F.A cup.,ANGER
3614,When my dog died.  I had reared it for nearly three years.  It had been ill for several days and had not eaten anything.  One morning I found it dead.,SADNESS
3615,"On a trip to Santander a child sitting beside me fell ill and started to vomit, seeing this made me feel very bad.",DISGUST
3616,I fell down in the bus when it braked suddenly and everybody started looking at me.,SHAME
3617,"When I finished a test type of exam and did not dare to answer any question, I doubted whether I would pass the exam  or not.",GUILT
3618,"When I was back home after a long time, meeting beloved people and close friends.",JOY
3619,When I heard about the treatment of a friend in jail. Really inhuman. I never realised that such things also happen in the Netherlands.,DISGUST
3620,I cannot remember a situation in which I felt ashamed. I was eating with some people and a little boy I took care of. I warned him often not to knock down his glass of mild. When I took out his chair I knocked down my own glass.,SHAME
3621,My mother always took my side. That brought about quarrels with my father. I knew she didn't like that and I felt very sorry for that.,GUILT
3622,"When on holiday in Greece I called my best friend, she told me she passed the examinations and that she had been admitted to the study for speech therapy.",JOY
3623,"Together with a little brother I biked on a lonely road in the Polder. Then we were annoyed by a boy on a motorbike: he took over, stopped, took over, etc. Then we saw he had something in his hand, we turned until we came across a man, who accompanied us.",FEAR
3624,We lived with 3 persons in the loft of a house. It often occurred that other persons again and again climbed the stairs with much noise. When I was studying I couldn't concentrate and got angry.,ANGER
3625,"I partly colored my hair black. My mother didn't like it and reproached me to be a \subversive element\"". Later on she stated áthat this was due to my friends. As I see it, this all resulted á",SADNESS
3626,"I was shopping in Utrecht with friends, we also ate some chips and snacks in a snackbar, then we saw a shabby fellow. He took a cold half eaten croquette (a snack) from a rubbish bin and eat it.",DISGUST
3627,I had subscribed for this test. We were informed by our secretary where the test took place. We went over there and thought there was a course. So we went back again I felt ashamed that the secretary again should see me.,SHAME
3628,"I was out with a friend in a place where it was very, very busy. When we wanted to go I bumped a person, who dropped his glass beer I offered a new one but he didn't accept it.",GUILT
3629,"It appeared that I gave correct answers to all questions during an examination of personality while I thought I performed very badly. Even now, I don't know how I managed it.",JOY
3630,"My father was very angry with me, and I locked me up in the shower. Then my father knocked his fist through the door, I was scared to death.",FEAR
3631,"My sister borrowed some LP records for a party. She had left them in the car on curatao. Due to the heat they were crooked, so I couldn't play them again.",ANGER
3632,"When my grandmother died, her life was heavy and her last hours were terrible.",SADNESS
3633,"When I watched TV and saw a performance of \Prince\"" (a popidol). áDisgusting he'd better be a stallion.""",DISGUST
3634,We had arranged a beach party with 20 people. There my father got drunk I felt very ashamed.,SHAME
3635,When I flew out to my mother and made rude remarks because I felt so tense (studied too hard for an examination).,GUILT
3636,"Unofficially I was informed about my results of the final examination of the secondary school. A teacher wrote them up for me. When I went outside, I started crying with joy.",JOY
3637,"I am thinking about death, the eternal of it, the unknown, the sense of being here. Often, laying in bed in the dark and quiet, the fear makes me feel dizzy.",FEAR
3638,"If they force me to eat something I don't like. For example, my parents always twaddle and whine, when I don't eat all the food.",ANGER
3639,"I had to leave Den Helder and all friends and acquaintences, after having spend two weeks there with my friends.",SADNESS
3640,"Being on view in a meat-factory. Pigs being cut open, pigs being suspended from nods, blood everywhere, decompsition.",DISGUST
3641,"When I have suffered a terrible fit of eating, that frequently occurs. Then I eat everything, I act like a glutton I eat big amounts of food, sometimes even half a loaf.",SHAME
3642,When my father (physically handicapped) asks me to do something and I raise several objections. Often I can fix it in few moments.,GUILT
3643,When the parents of my girlfriend gave permission to spend our holiday together.,JOY
3644,When the relationship with my first girlfriend broke up and I realized it too late.,FEAR
3645,Someone who always took care for the key of the sportshall stayed away without letting us know. Next time he did as if nothing had happened.,ANGER
3646,When my last relation broke up.,SADNESS
3647,"When working in a chemical laundry, I saw rats and maggots in the washing.",DISGUST
3648,When I forgot the birthday of my best friend and I innocently came to visit her one week later.,SHAME
3649,"When I made love with a girl, which I don't really love. However I know that she loves me.",GUILT
3650,When I passed the driving test (on the second try).,JOY
3651,"I was walking in the wood at night with my boyfriend. Very romantic. Suddenly I heard a car driving very slowly with the lights out, it looked as if they were looking for something.",FEAR
3652,I am a teacher in arts and crafts (boys from 15-16 years). for them it is obligatory and they dislike it. They tease me. When one of them cut up some material I flared up.,ANGER
3653,My sister was in coma for 3 months (due to a train accident). Now her brainfunctions are disturbed. She will never be able to walk and she can hardly talk.,SADNESS
3654,I lived together with my boyfriend. One night he stayed away and next day he told me that he had chat up with another girl.,DISGUST
3655,"I talk too much, cannot keep things secret. I promised a friend not to tell something to anybody. Neverthless, I did, and she got informed about it. I felt very ashamed.",SHAME
3656,My parents appreciate very much me and my boyfriend coming and have dinner with them at Christmas. However we decided to visit his parents. My mother was rather disappointed.,GUILT
3657,"When I started a relation with a girl, with whom I have fallen in love already some time ago.",JOY
3658,"Once sitting in the cinema, I became very anxious (watching a \cold\"" film). I do not know the reason.""",FEAR
3659,"I work for a journal. Once the lay-out came to nothing, due to thoughtlessness of some colleagues.",ANGER
3660,"My mother was stuck by an apoplectic fit, was hemi-paralyzed and suffered an aphasia.",SADNESS
3661,Each time I am confronted with reports about repression and torture.,DISGUST
3662,I wrote a letter to my father to ventilate my bottled up feelings. Afterwards I thought it was too negative.,SHAME
3663,I chatted up with a girl who I didn't love. She however was fallen in love with me. I felt responsible for her sorrow.,GUILT
3664,I felt very happy when I heard I had passed the examination to move up to the second year course.,JOY
3665,On a holiday in France I made a walk in the woods all alone and very relaxed. Then a motorbike took me over and I saw the man watching all the time. Suddenly the man stood behing me and I ran away fast.,FEAR
3666,"I invited two friends. We should go out together. Those two girls kept talking about boys, chatting up etc. I bacame sick of it.",ANGER
3667,"I felt very sad when my boyfriend wanted to break our relationship. Our relationship lasted two years, we shared everything and all this was finished.",SADNESS
3668,"I broke an egg, with which there was something wrong, into a little cup. There was a thick white \wad\"" in it. I tried to take áit out and throw it in the sink.""",DISGUST
3669,"When I was 10 years old I stained our bench with a fountain-pen, I tried to twin the cushions, but then there were colour nuances. Then my mother catched me, she saw it and became very angry.",SHAME
3670,"I spend the night with my boyfriend, while there was also a friend of his. We all lay on the floor to sleep. When my boyfriend was fallen asleep the other boy and I started petting. After 15 minutes I felt miserable and awoke my boyfriend to tell him that.",GUILT
3671,I liked to see off my aunt (from Zaire) to the airport. That appeared to be impossible because I had to go to school. For long time I wasn't sure if I could accompany her. Two days before the departure they told me I was allowed to miss school.,JOY
3672,"I went to the ballet lessons with a little friend in the dark. On a very quiet place a boy approached us from behind and asked at what time the lesson would be finished. I gave him an avoiding answer, he took me up and wanted to run away with me.",FEAR
3673,I was sleeping nicely until in the middle of the night when I became awake because a friend called me for some (in my opinion) nonsens reason.,ANGER
3674,"My boyfriend with whom I had a longlasting relationship, fell in love with another girl, then he asked me something which implied that he loved that girl more than he loved me.",SADNESS
